Row.names	X1	X2	cluster	uncertainty	1	2	3	4	5	6	group	set	method	cutoff	ontology	ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	depth	ic	partition	level3	loci	rank	term_fil	clusterrank
carbohydrate metabolic process	-0.225184834166083	-0.115856109470414	2	1.2345730771024e-08	1.23457306714056e-08	0.999999987654269	1.68305086163859e-45	7.50435644206196e-61	0	1.9206101156145e-45	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0005975	40819	1832	3682	219	19176	1940	2	false	0.00401786663139613	0.0186468875647693	0	4	4.0014749376641	biological_process	primary metabolic process	P37228,Q42806	2		23
carboxylic acid metabolic process	-0.207237484478179	-0.0270155411907332	2	0.0448382040117244	0.0448382040117245	0.955161795988276	9.46153425116442e-35	1.37191283509189e-48	0	8.95585933196972e-31	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0019752	40819	1481	3682	335	1512	335	1	false	0.000388468326659288	0.0024485902504854	3.04359085564398e-65	11	3.55630995970925	biological_process	cellular process	P37228,P24099,O82560,Q42806	3		18
catabolic process	-0.156573498643459	-0.123280741819193	2	6.66133814775094e-16	7.59154557536047e-16	0.999999999999999	3.55017156081078e-33	6.45814961846289e-56	0	3.07083357483054e-33	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0009056	40819	2763	3682	351	22147	2186	1	false	1.38489270907378e-07	1.68605944546482e-06	0	2	3.23134508241872	biological_process	catabolic process	P04670,O04104,Q42806	1	catabolic process	11
cation transmembrane transport	0.446356937961914	-0.407582739588353	5	0.00171647177544543	0	7.18986503925945e-77	1.16704005116279e-24	8.49463717019294e-161	0.998283528224555	0.00171647177544535	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0098655	40819	987	3682	187	1760	255	2	false	6.74534311688941e-10	1.13111767832745e-08	0	8	4.12042688052547	biological_process	establishment of localization	P16313	8		10
cation transport	0.449313633166606	-0.412842976642355	5	0.00149605353790816	0	3.40910018914485e-78	2.69985382825796e-25	3.18204674102228e-163	0.998503946462092	0.00149605353790809	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006812	40819	1271	3682	210	1920	262	1	false	7.30495324025169e-08	9.24167571853906e-07	0	5	3.79624794292889	biological_process	establishment of localization	Q948P5,Q948P6,P16313,P19976	6		8
cellular amide metabolic process	-0.220783053885236	0.0203954555775906	1	0.0837935779671224	0.916206422032878	0.0837935779671225	2.53958475331064e-34	8.91149858253865e-46	0	9.76444468659786e-28	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0043603	40819	1470	3682	454	9279	1025	1	false	1.65946280573608e-120	4.91615856199314e-118	0	6	4.26911007817059	biological_process	nitrogen compound metabolic process	P50346,Q39836,O22518	4		6
cellular amino acid metabolic process	-0.226675172488227	-0.0245541656617776	2	0.404643265250067	0.404643265250067	0.595356734749933	4.95234443230852e-38	2.55484704152495e-50	0	1.05466840567873e-33	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006520	40819	690	3682	140	18700	1899	3	false	4.79172952152022e-16	1.1829582256253e-14	0	15	4.44019726752875	biological_process	cellular process	P24099,O82560	7		27
cellular biosynthetic process	-0.218496398295929	0.0129754701835407	1	0.136486370541615	0.863513629458385	0.136486370541616	2.53213089602943e-34	3.9979290352191e-46	0	3.56029337099596e-28	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0044249	40819	7884	3682	916	18292	1894	2	false	6.36910079049238e-07	7.09785370225718e-06	0	5	2.58639332674977	biological_process	biosynthetic process	Q00423,P24099,O82560,P50346,Q10370,Q39836,Q39839,O22518	3		2
cellular carbohydrate metabolic process	-0.150201191257286	-0.0108517124509113	2	1.9084109640799e-05	1.90841096408876e-05	0.999980915890359	1.02228376611454e-24	8.30943603442946e-42	0	8.82276083537886e-21	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0044262	40819	627	3682	86	18944	1915	2	false	0.00207789333084311	0.0105076967157144	0	7	4.62906192291164	biological_process	primary metabolic process	P37228	4		31
cellular catabolic process	-0.137325637309872	-0.0058875996683889	2	2.19342779417264e-06	2.19342779425657e-06	0.999997806572206	1.39387203945076e-22	3.33525563929027e-40	0	1.21282689056397e-18	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0044248	40819	1962	3682	253	18551	1879	2	false	1.82546165645866e-05	0.000152694498557895	0	5	3.434542855038	biological_process	catabolic process	P04670,O04104	3		15
cellular cation homeostasis	0.150079896921847	-0.0206819510663917	3	0.193242292622443	4.14609128861454e-70	9.1740628334085e-09	0.806757707377557	3.27139160286867e-33	0	0.19324228344838	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0030003	40819	232	3682	53	401	58	2	false	1.95319373078787e-09	3.08604609464483e-08	6.9128500954575e-118	15	5.75653304004173	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	7		13
cellular chemical homeostasis	0.148244602719024	-0.0200097295169206	3	0.201596675949861	2.2750406311548e-69	1.25918802004575e-08	0.798403324050139	4.65660529111003e-33	0	0.201596663357981	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0055082	40819	260	3682	57	771	111	2	false	2.60205117838139e-05	0.000212162659154721	3.12354605464911e-213	11	5.55524828254002	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	5		11
cellular component assembly	0.301240101684155	0.434314352638507	4	0	4.31845503240973e-132	2.50591723636744e-19	5.04911130597502e-46	1	0	2.16849444584069e-53	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0022607	40819	2336	3682	579	5774	975	2	false	3.12462959218965e-39	2.09586003778004e-37	0	5	3.86517285424048	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,P50346,Q10370,Q39836,O22518	3		5
cellular component biogenesis	0.402859818685639	0.428046776640147	4	0	4.89441396621474e-163	8.87211227366174e-21	1.30642978257243e-58	1	0	1.34896343195216e-74	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0044085	40819	2949	3682	656	5774	975	1	false	2.69643277561087e-29	1.29538088071576e-27	0	2	3.64960122081832	biological_process	cellular component biogenesis	Q00423,P0CG89,P50346,Q10370,Q39836,O22518	1	cellular component biogenesis	4
cellular component disassembly	0.235808759712204	0.348580138274188	4	8.35997937542743e-13	1.23537762055137e-95	8.35996629830046e-13	1.88475882521515e-25	0.999999999999164	0	1.1834164288943e-28	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0022411	40819	1314	3682	433	10574	1633	2	false	7.58689332955072e-66	1.07885623146211e-63	0	6	5.33321031453356	biological_process	cellular component organization or biogenesis	P50346,Q39836,O22518	8		10
cellular component organization	0.274448835180222	0.408053852264824	4	0	1.48863819016998e-118	2.60652493312276e-17	1.50933322392311e-38	1	0	5.61781354768701e-44	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0016043	40819	5315	3682	913	22195	2471	2	false	1.26216920686441e-53	1.35970046375848e-51	0	3	2.5892350450588	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,P50346,Q10370,Q39821,Q39828,Q39836,O22518	2		2
cellular component organization or biogenesis	0.390265941536876	0.401610791319029	4	0	1.32313099765872e-153	3.06719078785301e-19	8.19090302732616e-52	1	0	1.3654822743736e-66	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0071840	40819	5774	3682	975	29947	3141	1	false	5.71072128602702e-63	7.51911635993558e-61	0	1	2.52797451445711	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,P50346,Q10370,Q39821,Q39828,Q39836,O22518	1	cellular component organization or biogenesis	1
cellular homeostasis	0.146965870164229	-0.0195370902117574	3	0.207654785150579	7.43029563946196e-69	1.57038453192001e-08	0.792345214849421	5.95826599309817e-33	0	0.207654769446734	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0019725	40819	531	3682	104	23819	2884	3	false	4.12848065099792e-07	4.73443506912826e-06	0	9	5.44547761640464	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	4		10
cellular ion homeostasis	0.149446142335443	-0.0204491908329283	3	0.196079354953334	7.47123194312273e-70	1.02346477099855e-08	0.803920645046666	3.69704937152017e-33	0	0.196079344718687	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006873	40819	239	3682	53	422	62	2	false	1.94044441980092e-07	2.32265316915564e-06	9.79298474222437e-125	13	5.68484111158561	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	6		12
cellular iron ion homeostasis	0.168336006268964	-0.027871194571607	3	0.130942193789175	1.02907572732133e-77	3.79739774439755e-10	0.869057806210825	7.51377925280221e-35	0	0.130942193409436	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006879	40819	71	3682	16	213	23	2	false	0.000188087178371661	0.00127604946395278	2.27352793893641e-58	22	8.67430377212601	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	9		25
cellular localization	0.44674165387694	-0.409343281798919	5	0.00147992661963792	0	2.86225079475012e-77	6.86487165416438e-25	1.4928172147425e-161	0.998520073380362	0.0014799266196379	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0051641	40819	1492	3682	389	5087	774	1	false	7.50353084882129e-41	5.23040238579602e-39	0	2	3.55930846270551	biological_process	cellular localization	Q43463,Q948P5,Q948P6,P16313,P19976	1	cellular localization	6
cellular macromolecular complex assembly	0.320507134555717	0.46081014950555	4	0	6.86445802130813e-144	5.38281428955646e-21	5.91929418942805e-53	1	0	9.55804080261355e-62	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0034622	40819	1908	3682	528	2095	556	1	false	5.91058466877836e-05	0.000447066563776746	6.49048310881446e-273	8	4.91310365643245	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,P50346,Q10370,Q39836,O22518	7		9
cellular macromolecule localization	0.448456914311539	-0.408779380455997	5	0.00220567096805591	0	2.99131533991457e-77	9.64818497888809e-25	1.85024281793904e-161	0.997794329031944	0.00220567096805597	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0070727	40819	1146	3682	319	1914	428	2	false	5.56911532672544e-13	1.13782787278787e-11	0	4	4.2494571402692	biological_process	macromolecule localization	Q43463	3		12
cellular nitrogen compound metabolic process	-0.252558140179653	0.0159446842675668	1	0.0110886597911911	0.988911340208809	0.011088659791191	1.10910897591881e-40	3.38550326855755e-50	0	9.29416514128467e-34	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0034641	40819	9279	3682	1025	18734	1923	2	false	0.000261278099857232	0.00172327206863165	0	5	2.42819700664445	biological_process	nitrogen compound metabolic process	Q00423,P04670,O04104,P50346,Q42806,Q10370,Q39836,Q39839,O22518	2		1
cellular process	0.107159032800275	0.0746640601022252	6	0.278313856567895	6.67625460989244e-46	0.00025727221174368	0.278056584356151	9.45097630914487e-20	0	0.721686143432105	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0009987	40819	22141	3682	2462	29947	3141	1	false	5.80091048499981e-10	9.91453691066073e-09	0	1	0.832663452868766	biological_process	cellular process	Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,O22518	1	cellular process	2
cellular protein localization	0.448585977364945	-0.408777482935297	5	0.00230942680463797	0	3.00464677821629e-77	9.97803440812036e-25	1.84809480835019e-161	0.997690573195362	0.00230942680463797	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0034613	40819	1133	3682	319	1374	345	2	false	1.30202801608953e-09	2.08580103507318e-08	2.90536159445558e-276	6	4.29697565823368	biological_process	macromolecule localization	Q43463	4		14
cellular protein metabolic process	-0.250181880080452	0.00193300930229541	1	0.0221161980155024	0.977883801984498	0.0221161980155024	3.34495245342621e-41	3.92806530967433e-51	0	4.00920335441156e-35	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0044267	40819	7019	3682	868	14460	1282	2	false	9.34625891769479e-48	8.51947447497563e-46	0	11	3.06026367297067	biological_process	organic substance metabolic process	P50346,Q39836,O22518	3		3
cellular respiration	-0.0850187320808899	-0.0131008542431117	2	1.31916699785961e-12	7.26182124335269e-13	0.999999999998681	7.30885929735403e-16	5.28668818570007e-37	0	5.92204079227249e-13	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0045333	40819	196	3682	86	240	89	1	false	6.70724935913078e-07	7.42812195380371e-06	3.31974551801469e-49	10	6.37171867913196	biological_process	cellular process	P37228	34		45
cellular response to chemical stimulus	0.173875499301064	0.0597276062559587	3	0.0308788165416788	1.04466908861211e-66	3.01602167632148e-07	0.969121183458321	1.29031723953514e-21	0	0.0308785149395112	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0070887	40819	825	3682	95	4477	411	2	false	0.00711993830294152	0.0306433179987374	0	5	3.44721391486634	biological_process	response to chemical	Q39817	1	cellular response to chemical stimulus	4
cellular response to topologically incorrect protein	0.195185164932905	0.0401603259298639	3	0.0114727677355031	3.88733015563165e-76	6.87387772350398e-09	0.988527232264497	9.98545510327913e-25	0	0.0114727608616255	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0035967	40819	123	3682	46	1961	144	3	false	9.49086101291472e-24	3.47835163926926e-22	6.41329771561848e-199	11	7.28800941100612	biological_process	response to stress	Q39817	3		17
cellular response to unfolded protein	0.195666139019758	0.0392686871227621	3	0.0113578214255555	2.00594522907473e-76	6.00780844059633e-09	0.988642178574444	7.16552115731727e-25	0	0.0113578154177471	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0034620	40819	70	3682	33	124	47	2	false	0.0124152303495475	0.0492590891658943	1.83593462482775e-36	13	7.49564877578436	biological_process	response to stress	Q39817	5		19
cellular transition metal ion homeostasis	0.163118664388517	-0.0257112881256214	3	0.14525418007688	1.71875317010921e-75	9.50425919577248e-10	0.85474581992312	2.32967028285043e-34	0	0.145254179126454	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0046916	40819	104	3682	18	292	34	2	false	0.0215205963932515	0.0774349394514262	5.4170267917094e-82	20	7.6182510978767	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	8		21
chemical homeostasis	0.197489437198985	-0.0537397504786095	3	0.129502717108609	2.0841886182847e-93	6.62706902432623e-13	0.870497282891391	5.4283152644614e-40	0	0.129502717107946	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0048878	40819	502	3682	64	1163	114	1	false	0.00231252727806345	0.0115463967324657	0	4	5.07699151153756	biological_process	regulation of biological quality	Q948P5,Q948P6,P16313,P19976	2		7
chromatin assembly	0.319302387323648	0.441280587094357	4	0	5.07892681752989e-139	4.34293715468972e-20	1.50003986375671e-49	1	0	2.11717468672902e-58	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0031497	40819	89	3682	34	2364	584	3	false	0.00276810192792767	0.0135919922013576	4.9162356306635e-164	12	7.3197581093207	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,Q10370	18		23
chromatin assembly or disassembly	0.299629043311674	0.40852786039062	4	0	5.23208915685769e-126	5.22016387940055e-18	1.20295458725643e-41	1	0	4.16516730836489e-49	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006333	40819	100	3682	38	508	82	1	false	1.10869214603071e-09	1.80798191703632e-08	8.36465883430645e-109	7	6.99254519811228	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,Q10370	17		22
chromatin silencing	-0.11334488323348	0.316722990415549	6	3.51607631898787e-12	2.99726156248338e-40	3.51611325089616e-12	4.28093357425838e-20	8.6770292117483e-23	0	0.999999999996484	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006342	40819	79	3682	36	712	106	4	false	1.72881537402974e-12	3.45277452509873e-11	3.61545515754228e-107	74	6.90359771209579	biological_process	cellular component organization or biogenesis	Q00423,Q10370	16		10
citrate metabolic process	-0.0968201897399371	-0.0264073207508998	2	2.36166641798263e-12	2.35933719306688e-12	0.999999999997638	5.26920917117215e-18	2.16616256065961e-39	0	2.42374117924942e-15	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006101	40819	90	3682	48	101	49	1	false	0.0052572311297953	0.0234497574233655	6.29167787919483e-15	13	9.36745095268595	biological_process	cellular process	P37228	45		52
coenzyme metabolic process	-0.0952884501920217	0.00611811752725436	2	2.54585241776795e-10	2.53502300033672e-10	0.999999999745415	2.24681301939337e-16	1.30281159191977e-35	0	1.08273842798684e-12	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006732	40819	522	3682	133	672	145	1	false	7.06407725702846e-07	7.77485902437652e-06	3.00664990880615e-154	5	4.97919376826144	biological_process	cellular process	Q42806	12		34
cofactor metabolic process	-0.104314590522855	0.00662001356976426	2	3.16362513963497e-09	3.16350485522022e-09	0.999999996836375	1.6707333241079e-17	3.09026222403554e-36	0	1.20337909516548e-13	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0051186	40819	672	3682	145	17998	1855	1	false	1.67844801034075e-18	5.01418712332887e-17	0	4	4.52523431021466	biological_process	cellular process	Q42806	8		29
cytoplasmic translation	-0.25775629627435	0.000987055714630103	1	0.0154507206750538	0.984549279324946	0.0154507206750539	9.84308454798767e-43	3.86403523053238e-52	0	1.37320359715106e-36	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0002181	40819	162	3682	95	1180	415	1	false	4.17685366049618e-11	7.69363459226111e-10	3.019328380526e-204	26	7.01607569552248	biological_process	organic substance metabolic process	P50346,O22518	9		53
DNA packaging	0.298913956441647	0.405180713370336	4	0	4.28277498316179e-125	8.12218014337299e-18	5.1417565369264e-41	1	0	1.91569771014793e-48	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006323	40819	106	3682	35	543	43	2	false	3.53563743378054e-20	1.12224920331159e-18	8.73863239246628e-116	7	6.78345340025372	biological_process	cellular component organization or biogenesis	Q00423,P0CG89,Q10370	15		20
endoplasmic reticulum unfolded protein response	0.165085770270555	0.039703010572338	3	0.0584485082715021	2.16059186267684e-66	1.15925611633992e-07	0.941551491728498	1.54084025312395e-24	0	0.0584483923458904	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0030968	40819	39	3682	12	2451	264	3	false	0.000514017900425086	0.00312364724104476	1.80795323272644e-86	23	7.6182510978767	biological_process	biological regulation	Q39817	3		22
energy derivation by oxidation of organic compounds	-0.0953678705084493	-0.0128804424991359	2	1.62729829611408e-11	1.62341861839865e-11	0.999999999983727	3.33500953851162e-17	9.76651938499809e-38	0	3.88203815767499e-14	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0015980	40819	240	3682	89	10471	1564	3	false	1.07911219267611e-17	3.09374503626095e-16	0	9	5.78393201422984	biological_process	cellular process	P37228	21		40
establishment of localization in cell	0.475501978221589	-0.417577932205125	6	4.44089209850063e-16	0	7.49711178074165e-80	4.95335042473906e-24	1.8746357872203e-166	3.98159798260955e-16	1	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0051649	40819	1276	3682	339	23022	2817	3	false	7.09397074724103e-47	6.0045395253433e-45	0	6	4.03594061878215	biological_process	establishment of localization	Q43463	7		6
gas transport	0.344437629174419	-0.301384926233925	6	1.21451959600449e-10	1.51615721827706e-253	5.63464712762874e-46	1.21451987116871e-10	6.61162526345529e-109	1.56593267054208e-71	0.999999999878548	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0015669	40819	7	3682	4	2104	351	1	false	0.0175135444719941	0.06478735754208	2.78900663216633e-20	7	8.96198584457779	biological_process	establishment of localization	P02236,P02235	17		15
gene expression	-0.264620298244737	-0.0949891952236946	2	0.00028016744005499	0.00028016744005495	0.999719832559945	2.42497626484657e-51	5.59205024909897e-62	0	2.49800020772861e-50	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0010467	40819	6506	3682	755	14937	1309	1	false	4.77166646506767e-27	2.01943741468043e-25	0	4	3.31183858575422	biological_process	organic substance metabolic process	Q00423,P50346,Q10370,Q39836,O22518	5		13
gene silencing	-0.148279490383519	0.0387556129119538	2	0.000959611122466231	0.000959611122465152	0.999040388877534	1.26554624692739e-21	2.44052684806546e-36	0	1.25680846742526e-15	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0016458	40819	166	3682	46	8661	1433	2	false	0.000178946358937591	0.00122102553939182	0	17	5.98306068934018	biological_process	regulation of biological process	Q00423,Q10370	25		43
generation of precursor metabolites and energy	-0.0892645745243217	0.00363651106206476	2	3.60975693780574e-11	3.29005899402805e-11	0.999999999963902	1.01622782482374e-15	1.94034658658226e-35	0	3.19612662426914e-12	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006091	40819	800	3682	179	17998	1855	1	false	1.48181231337915e-24	5.89190694450287e-23	0	4	5.42586914501626	biological_process	cellular process	P37228,Q42806	17		38
glutamine biosynthetic process	-0.167337383122032	-0.0229662425371338	2	0.000115114333554933	0.000115114333554879	0.999884885666445	4.75549206896176e-28	1.33505015625566e-44	0	2.2307025289312e-24	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006542	40819	13	3682	8	103	27	2	false	0.00445255566574055	0.0204243037312357	9.3422972506604e-17	30	10.0605981332459	biological_process	cellular process	P24099,O82560	47		54
glycolytic process	-0.314891567934368	-0.0425205613852082	1	0.109546029950716	0.890453970049284	0.109546029950716	7.64776993227426e-57	5.98532104759683e-62	0	1.293863038958e-52	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006096	40819	142	3682	63	393	106	9	false	7.84148355586846e-09	1.13490927196895e-07	5.30833538547485e-111	66	7.35254793214369	biological_process	cellular process	Q42806	44		57
inorganic cation transmembrane transport	0.441070082479352	-0.398805228007274	5	0.00683516740304224	0	3.90312637566274e-74	4.2391064650329e-23	3.12485793049294e-156	0.993164832596958	0.00683516740304232	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0098662	40819	878	3682	176	1086	192	2	false	5.37681376805131e-06	5.04618361180653e-05	1.4005681666451e-229	10	4.59464992531391	biological_process	establishment of localization	P16313	14		17
inorganic ion transmembrane transport	0.441801505222512	-0.400541201133369	5	0.00433502907878658	0	1.0426275678729e-74	1.79615543303374e-23	3.69384094186494e-157	0.995664970921213	0.00433502907878664	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0098660	40819	977	3682	181	1477	233	1	false	2.18588060353788e-05	0.000180297112426385	0	7	4.38555812745535	biological_process	establishment of localization	P16313	11		15
