"group"	"set"	"method"	"cutoff"	"ontology"	"ID"	"Pop.total"	"Pop.term"	"Study.total"	"Study.term"	"Pop.family"	"Study.family"	"nparents"	"is.trivial"	"p"	"p.adjusted"	"p.min"	"depth"	"ic"	"partition"	"level3"	"name"	"loci"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005730"	40819	403	3682	101	3862	791	3	"false"	0.0106814172040525	0.0431995883508608	0	19	7.45790844780152	"cellular_component"	"non-membrane-bounded organelle"	"nucleolus"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005737"	40819	10639	3682	1992	18051	2403	1	"false"	7.44126479957741e-160	6.61342409062442e-157	0	5	3.37224341929914	"cellular_component"	"cell part"	"cytoplasm"	"P08960,P08995,Q43463,P04670,Q948P5,Q948P6,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005773"	40819	2921	3682	564	15843	2124	2	"false"	1.50373235926257e-23	5.45486585426371e-22	0	11	6.09978496364832	"cellular_component"	"membrane-bounded organelle"	"vacuole"	"Q43463,P0CG89,Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005783"	40819	948	3682	264	15843	2124	3	"false"	4.66762893264298e-34	2.81244421280437e-32	0	12	5.9662535710238	"cellular_component"	"membrane-bounded organelle"	"endoplasmic reticulum"	"Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005789"	40819	502	3682	131	14950	1510	5	"false"	1.81175407157127e-25	7.4032019821102e-24	0	21	6.64287144963253	"cellular_component"	"membrane part"	"endoplasmic reticulum membrane"	"Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005829"	40819	2027	3682	586	8160	1634	1	"false"	2.97148032064812e-29	1.40848167198721e-27	0	7	5.80498542342768	"cellular_component"	"cell part"	"cytosol"	"P0CG89,P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005840"	40819	731	3682	345	10152	1938	3	"false"	1.10592376229135e-72	1.70937346736771e-70	0	14	7.75801304025185	"cellular_component"	"cell part"	"ribosome"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005874"	40819	306	3682	42	393	47	2	"false"	0.0272820650759784	0.0939803695204489	1.22353205989702e-89	18	7.35254793214369	"cellular_component"	"organelle part"	"microtubule"	"Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005886"	40819	5291	3682	769	28822	3057	3	"false"	2.51690589441507e-23	8.94760045464556e-22	0	5	4.50957841314211	"cellular_component"	"cell"	"plasma membrane"	"Q43463,P0CG89,Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005975"	40819	1832	3682	219	19176	1940	2	"false"	0.00401786663139613	0.0186468875647693	0	4	4.0014749376641	"biological_process"	"primary metabolic process"	"carbohydrate metabolic process"	"P37228,Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006082"	40819	1531	3682	339	21999	2303	4	"false"	8.933036287206e-44	6.61603000021194e-42	0	9	3.48831559055189	"biological_process"	"cellular process"	"organic acid metabolic process"	"P04670,P37228,O04104,P24099,O82560,Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006090"	40819	189	3682	76	625	148	1	"false"	4.36517334557615e-10	7.5698493870845e-09	1.26392158623943e-165	13	6.43625720026953	"biological_process"	"cellular process"	"pyruvate metabolic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006091"	40819	800	3682	179	17998	1855	1	"false"	1.48181231337915e-24	5.89190694450287e-23	0	4	5.42586914501626	"biological_process"	"cellular process"	"generation of precursor metabolites and energy"	"P37228,Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006096"	40819	142	3682	63	393	106	9	"false"	7.84148355586846e-09	1.13490927196895e-07	5.30833538547485e-111	66	7.35254793214369	"biological_process"	"cellular process"	"glycolytic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006099"	40819	90	3682	48	18201	1854	3	"false"	1.60274631906517e-24	6.26127820250183e-23	7.22909184588401e-246	20	10.0605981332459	"biological_process"	"cellular process"	"tricarboxylic acid cycle"	"P37228"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006101"	40819	90	3682	48	101	49	1	"false"	0.0052572311297953	0.0234497574233655	6.29167787919483e-15	13	9.36745095268595	"biological_process"	"cellular process"	"citrate metabolic process"	"P37228"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006163"	40819	429	3682	153	695	192	2	"false"	4.97938486060623e-10	8.59306465022095e-09	4.67939646319287e-200	24	5.28991350878024	"biological_process"	"cellular process"	"purine nucleotide metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006164"	40819	245	3682	87	569	162	3	"false"	0.000864616372755953	0.00484812492925459	3.7581971697034e-168	39	6.32292851496253	"biological_process"	"cellular process"	"purine nucleotide biosynthetic process"	"Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006165"	40819	157	3682	68	192	71	2	"false"	4.09531661984228e-05	0.000317186287223079	3.41421027662367e-39	25	6.99254519811228	"biological_process"	"cellular process"	"nucleoside diphosphate phosphorylation"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006323"	40819	106	3682	35	543	43	2	"false"	3.53563743378054e-20	1.12224920331159e-18	8.73863239246628e-116	7	6.78345340025372	"biological_process"	"cellular component organization or biogenesis"	"DNA packaging"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006333"	40819	100	3682	38	508	82	1	"false"	1.10869214603071e-09	1.80798191703632e-08	8.36465883430645e-109	7	6.99254519811228	"biological_process"	"cellular component organization or biogenesis"	"chromatin assembly or disassembly"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006334"	40819	83	3682	30	300	53	3	"false"	8.02158243862072e-07	8.69412364917581e-06	2.80316005105692e-76	19	8.80783516475053	"biological_process"	"cellular component organization or biogenesis"	"nucleosome assembly"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006342"	40819	79	3682	36	712	106	4	"false"	1.72881537402974e-12	3.45277452509873e-11	3.61545515754228e-107	74	6.90359771209579	"biological_process"	"cellular component organization or biogenesis"	"chromatin silencing"	"Q00423,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006412"	40819	1180	3682	415	12463	1193	7	"false"	1.97156347574518e-148	1.16815135937902e-145	0	25	4.96684793243914	"biological_process"	"organic substance metabolic process"	"translation"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006413"	40819	1180	3682	415	17998	1855	3	"false"	2.98637314879756e-128	9.65141503997757e-126	0	26	6.57935804391021	"biological_process"	"cellular process"	"translational initiation"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006414"	40819	1180	3682	415	6000	617	2	"false"	8.71667152910359e-169	1.54938836429816e-165	0	26	7.01607569552248	"biological_process"	"organic substance metabolic process"	"translational elongation"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006415"	40819	1180	3682	415	1245	422	2	"false"	1.1285621074794e-05	9.66756214961272e-05	2.9427650915177e-110	36	8.35585004100747	"biological_process"	"cellular component organization or biogenesis"	"translational termination"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006417"	40819	198	3682	37	5469	553	5	"false"	0.000138984183838009	0.000968801516753177	0	43	5.55524828254002	"biological_process"	"regulation of biological process"	"regulation of translation"	"Q39836"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006457"	40819	414	3682	120	22141	2462	1	"false"	9.10296875395006e-24	3.37094311669713e-22	0	2	7.5756914834579	"biological_process"	"NA"	"protein folding"	"Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006518"	40819	1335	3682	432	9532	1283	2	"false"	1.22506807954981e-85	2.72194813924974e-83	0	9	4.5862288229175	"biological_process"	"nitrogen compound metabolic process"	"peptide metabolic process"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006520"	40819	690	3682	140	18700	1899	3	"false"	4.79172952152022e-16	1.1829582256253e-14	0	15	4.44019726752875	"biological_process"	"cellular process"	"cellular amino acid metabolic process"	"P24099,O82560"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006542"	40819	13	3682	8	103	27	2	"false"	0.00445255566574055	0.0204243037312357	9.3422972506604e-17	30	10.0605981332459	"biological_process"	"cellular process"	"glutamine biosynthetic process"	"P24099,O82560"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006732"	40819	522	3682	133	672	145	1	"false"	7.06407725702846e-07	7.77485902437652e-06	3.00664990880615e-154	5	4.97919376826144	"biological_process"	"cellular process"	"coenzyme metabolic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006733"	40819	277	3682	83	522	133	1	"false"	0.00799894204336465	0.0336523538037412	5.55738882980597e-156	6	6.09978496364832	"biological_process"	"cellular process"	"oxidoreduction coenzyme metabolic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006753"	40819	640	3682	178	4684	480	3	"false"	1.54612006878914e-43	1.12172588664192e-41	0	20	4.43118007387856	"biological_process"	"cellular process"	"nucleoside phosphate metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006757"	40819	142	3682	63	880	210	4	"false"	2.61451772195320e-09	4.05878187840332e-08	3.49198337410525e-168	47	7.28800941100612	"biological_process"	"cellular process"	"ATP generation from ADP"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006810"	40819	4864	3682	742	4924	745	1	"false"	0.0134943761472242	0.0526014333370416	3.45015013451304e-140	3	2.3948447013842	"biological_process"	"establishment of localization"	"transport"	"P08995,Q43463,Q948P5,Q948P6,P16313,P19976,P02236,P02235"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006812"	40819	1271	3682	210	1920	262	1	"false"	7.30495324025169e-08	9.24167571853906e-07	0	5	3.79624794292889	"biological_process"	"establishment of localization"	"cation transport"	"Q948P5,Q948P6,P16313,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006873"	40819	239	3682	53	422	62	2	"false"	1.94044441980092e-07	2.32265316915564e-06	9.79298474222437e-125	13	5.68484111158561	"biological_process"	"regulation of biological quality"	"cellular ion homeostasis"	"Q948P5,Q948P6,P16313,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006879"	40819	71	3682	16	213	23	2	"false"	0.000188087178371661	0.00127604946395278	2.27352793893641e-58	22	8.67430377212601	"biological_process"	"regulation of biological quality"	"cellular iron ion homeostasis"	"Q948P5,Q948P6,P16313,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006880"	40819	38	3682	14	83	17	2	"false"	0.000753542921810449	0.00432769804044612	1.5857241660265e-24	30	10.7537453138058	"biological_process"	"single-organism process"	"intracellular sequestering of iron ion"	"Q948P5,Q948P6,P16313,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006886"	40819	972	3682	287	1521	378	3	"false"	7.1282378431659e-09	1.05148902624294e-07	0	21	5.22431622629442	"biological_process"	"establishment of localization"	"intracellular protein transport"	"Q43463"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0006986"	40819	71	3682	34	126	47	1	"false"	0.00424087753923309	0.0195796359116541	4.55195219679518e-37	6	7.42154080363064	"biological_process"	"response to stress"	"response to unfolded protein"	"Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0007005"	40819	281	3682	77	3270	485	1	"false"	7.5054208165207e-09	1.09351520502996e-07	0	5	5.87094339121947	"biological_process"	"cellular component organization or biogenesis"	"mitochondrion organization"	"Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0007264"	40819	170	3682	85	786	132	1	"false"	6.83478976432297e-33	4.04961293536136e-31	1.65018720310337e-177	17	7.01607569552248	"biological_process"	"biological regulation"	"small GTPase mediated signal transduction"	"Q43463"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0008104"	40819	1361	3682	345	1618	371	1	"false"	9.14334660608871e-09	1.28476668714013e-07	9.39986227018461e-307	3	3.9025603863121	"biological_process"	"macromolecule localization"	"protein localization"	"Q43463"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0008150"	40819	29947	3682	3141	40819	3682	1	"false"	7.11831026049279e-74	1.15025422618418e-71	0	0	0.284035274283438	"biological_process"	"NA"	"biological_process"	"P08960,P08995,Q00423,Q43463,P04670,P04671,P04672,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,P08863,Q42806,Q10370,P04144,P04145,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,P02236,P02235,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0008198"	40819	38	3682	11	617	54	1	"false"	0.000161893290902973	0.00111753524108752	1.55902658620928e-61	7	9.36745095268595	"molecular_function"	"ion binding"	"ferrous iron binding"	"Q948P5,Q948P6,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0008199"	40819	27	3682	11	617	54	1	"false"	3.73403519516521e-06	3.67714546227488e-05	8.91170025952863e-48	7	10.7537453138058	"molecular_function"	"ion binding"	"ferric iron binding"	"Q948P5,Q948P6,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0008301"	40819	106	3682	35	4340	109	1	"false"	9.5352112281137e-32	5.29651186186628e-30	1.11384610982383e-215	6	9.36745095268595	"molecular_function"	"organic cyclic compound binding"	"DNA binding, bending"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009056"	40819	2763	3682	351	22147	2186	1	"false"	1.38489270907378e-07	1.68605944546482e-06	0	2	3.23134508241872	"biological_process"	"NA"	"catabolic process"	"P04670,O04104,Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009058"	40819	8272	3682	965	22147	2186	1	"false"	4.18885620828218e-12	8.09314338067563e-11	0	2	2.47455553661084	"biological_process"	"NA"	"biosynthetic process"	"Q00423,P24099,O82560,P50346,Q10370,Q39836,Q39839,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009059"	40819	6103	3682	631	16769	1616	2	"false"	0.0108339759721875	0.0436675562144292	0	6	3.1978402201945	"biological_process"	"organic substance metabolic process"	"macromolecule biosynthetic process"	"Q00423,P50346,Q10370,Q39836,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009112"	40819	79	3682	20	9580	1288	2	"false"	0.00326468055286481	0.0156089836059894	3.6628400771215e-198	18	6.88254430289795	"biological_process"	"cellular process"	"nucleobase metabolic process"	"P04670,O04104"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009123"	40819	405	3682	153	640	178	1	"false"	9.14880570570015e-15	2.1257519139715e-13	5.62985090116954e-182	21	5.53338948872752	"biological_process"	"cellular process"	"nucleoside monophosphate metabolic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009126"	40819	340	3682	144	405	153	1	"false"	4.39130755999663e-06	4.23064996633822e-05	6.1808471066292e-77	22	5.88621086335026	"biological_process"	"cellular process"	"purine nucleoside monophosphate metabolic process"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009132"	40819	170	3682	68	640	178	1	"false"	3.74824551203943e-05	0.000297433321323665	3.58618916646029e-160	21	5.93346374820081	"biological_process"	"cellular process"	"nucleoside diphosphate metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009141"	40819	341	3682	133	640	178	1	"false"	5.92595574239736e-12	1.12656538311351e-10	2.75504407572088e-191	21	5.74311001970959	"biological_process"	"cellular process"	"nucleoside triphosphate metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009142"	40819	173	3682	67	525	163	2	"false"	0.00542822516969037	0.0241216755978116	8.18289240937794e-144	33	7.14282740116162	"biological_process"	"cellular process"	"nucleoside triphosphate biosynthetic process"	"Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009144"	40819	310	3682	131	341	133	1	"false"	2.40359272153997e-05	0.000197338848154147	1.0241105276241e-44	22	6.03524644251075	"biological_process"	"cellular process"	"purine nucleoside triphosphate metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0009150"	40819	411	3682	148	463	155	2	"false"	0.000531113752870621	0.00321107039363105	3.88232336867379e-70	28	5.50147188575921	"biological_process"	"cellular process"	"purine ribonucleotide metabolic process"	"Q42806,Q39839"
